Alte Allee|Charlottenburg|14055|796,9439
Alte Fasanerie|Lübars|13469|7648,22489
Alte Fischerhütte|Zehlendorf|14163|-365,5130
Alte Hellersdorfer Str.|Hellersdorf|12629|23054,15218
Alte Jakobstr.|Kreuzberg|10969|9982,10834
Alte Jakobstr.|Mitte|10179|10755,11635
Alte Kaulsdorfer Str.|Köpenick|12555|22123,6399
Alte Leipziger Str.|Mitte|10117|10076,11840
Alte Potsdamer Str.|Tiergarten|10785|8384,11359
Alte Schönhauser Str.|Mitte|10119|10580,13242
Alte Ziegenweide (Kolonie)|Friedenau|12157|7151,6215
Altenauer Weg|Lichterfelde|12209|5364,1470
Altenberger Weg|Niederschönhausen|13156|9981,20195
Altenbraker Str.|Neukölln|12051|12356,7254
Altenbraker Str.|Neukölln|12053|12356,7254
Altenburger Allee|Charlottenburg|14050|679,12361
Altenburger Str.|Lankwitz|12249|6603,1222
Altenescher Weg|Prenzlauer Berg|10407|13923,14862
Altenhofer Str.|Hohenschönhausen|13055|15596,14468
Altenhofer Weg|Borsigwalde|13509|3036,19986
Altenhofer Weg|Tegel|13509|3036,19986
Altensteinstr.|Dahlem|14195|3267,5056
Altentreptower Str.|Biesdorf|12683|21863,12156
Alter Bernauer Heerweg|Lübars|13469|7974,23087
Alter Exerzierplatz (Kolonie)|Siemensstadt|13629|-152,15185
Alter Fischerweg|Rahnsdorf|12589|30011,6308
Alter Hegemeisterweg|Rahnsdorf|12589|29820,4884
Alter Markt|Köpenick|12555|22265,4736
Alter Schönefelder Weg|Altglienicke|12524|19494,1727
Alter Segelfliegerdamm|Johannisthal|12487|17593,3748
Alter Upstall (Kolonie)|Lankwitz|12247|7695,3860
Altglienicker Grund|Altglienicke|12524|19070,459
Altgrabauer Str.|Köpenick|12555|21781,7341
Althansweg|Marzahn|12685|20766,14637
Altheider Str.|Adlershof|12489|19847,3733
Althoffplatz|Steglitz|12169|5564,5570
Althoffstr.|Steglitz|12169|5563,5592
Altkanzlerstr.|Zehlendorf|14163|-213,4316
Altkircher Str.|Dahlem|14195|2233,4028
Altlandsberger Platz|Marzahn|12685|21852,15517
Altmarkstr.|Steglitz|12157|6278,6226
Altmarkstr.|Steglitz|12169|6278,6226
Altonaer Str.|Hansaviertel|10555|6271,12220
Altonaer Str.|Hansaviertel|10557|6271,12220
Altonaer Str.|Mahlsdorf|12623|26080,13496
Altonaer Str.|Spandau|13581|-4259,13721
Altonaer Str.|Tiergarten|10557|6271,12220
Altrader Weg|Rudow|12355|17920,81
Altstädter Ring|Spandau|13597|-3455,14213
Altvaterstr.|Nikolassee|14129|-2800,3233
Alvenslebenstr.|Lichtenrade|12307|10701,-2528
Alvenslebenstr.|Schöneberg|10783|7826,9870
Alwineweg|Biesdorf|12683|21545,14445
Am Adlergestell|Adlershof|12489|19602,3871
Am Aegirbad (Kolonie)|Lichterfelde|14167|3275,1186
Am Alten Fenn|Johannisthal|12487|17298,5134
Am Alten Friedhof|Altglienicke|12524|19046,1668
Am Alten Gaswerk|Spandau|13591|-8363,14309
Am Amtsgraben|Köpenick|12555|22963,4435
Am Anger|Dahlem|14195|2402,5158
Am Ansitz|Waidmannslust|13469|4012,21895
Am Appelhorst|Buckow|12353|13864,1625
Am Ausblick|Frohnau|13465|1402,24851
Am Bachrain|Kaulsdorf|12621|23645,12780
Am Bahndamm (Kolonie)|Mariendorf|12107|7870,3994
Am Bahndamm|Köpenick|12555|22043,6309
Am Bahndamm|Zehlendorf|14163|
