Gutenbergstr.|Potsdam||-13499,-1022
Gutsstr.|Potsdam||-16424,1532
Habichthorst|Potsdam||-10587,-3288
Habichtweg|Potsdam||-15063,603
Haeckelstr.|Potsdam||-15168,-2366
Hainholzstr.|Potsdam||-14543,3135
Handelshof|Potsdam||-9509,-5500
Hans-Albers-Str.|Potsdam||-7420,-4104
Hans-Grade-Ring|Potsdam||-8508,-3270
Hans-Marchwitza-Ring|Potsdam||-11582,-1507
Hans-Sachs-Str.|Potsdam||-14657,-1656
Hans-Thoma-Str.|Potsdam||-12337,-677
Hasensprung|Potsdam||-11069,-4497
Hauptallee|Potsdam||-15632,-1063
Hauptweg|Potsdam||-19571,4382
Hebbelstr.|Potsdam||-12673,-506
Heckenstr.|Potsdam||-17330,1636
Hegelallee|Potsdam||-13495,-899
Hegemeisterweg|Potsdam||-11125,-4365
Heidereiterweg|Potsdam||-11203,-3766
Heideweg|Potsdam||-9898,-2208
Heilig-Geist-Str.|Potsdam||-12156,-1307
Heimrode|Potsdam||-11108,-3809
Heinestr.|Potsdam||-9575,-1279
Heinrich-Mann-Allee|Potsdam||-12399,-2189
Heinrich-von-Kleist-Str.|Potsdam||-10121,-2279
Helene-Lange-Str.|Potsdam||-13124,-314
Helmholtzstr.|Potsdam||-12025,-260
Henning-von-Tresckow-Str.|Potsdam||-13257,-1695
Herderstr.|Potsdam||-9240,-1384
Hermann-Elflein-Str.|Potsdam||-13477,-1133
Hermann-Maaß-Str.|Potsdam||-9809,-672
Hermannswerder|Potsdam||-14501,-2453
Hertha-Thiele-Weg|Potsdam||-7286,-4390
Herthastr.|Potsdam||-9721,-1048
Herzbergstr.|Potsdam||-17232,327
Hessestr.|Potsdam||-12840,557
Hippodrom|Potsdam||-15377,-1669
Hoffbauerstr.|Potsdam||-13349,-1852
Höhenstr.|Potsdam||-12524,1496
Hoher Weg|Potsdam||-10207,-836
Holländischer Garten|Potsdam||-14109,-745
Holzmarktstr.|Potsdam||-12095,-928
Horstweg|Potsdam||-11080,-3420
Hubertusdamm|Potsdam||-8139,-2607
Hügelweg|Potsdam||-16779,1592
Hugstr.|Potsdam||-17072,897
Humboldtbrücke|Potsdam||-11742,-899
Humboldtring|Potsdam||-11909,-1869
Im Bogen|Potsdam||-15785,-2866
Im Schäferfeld|Potsdam||-8452,-3757
Immenseestr.|Potsdam||-15722,-2965
In der Aue|Potsdam||-8228,-2531
Industriegelände|Potsdam||-9055,-5047
Inselhof|Potsdam||-10172,-3691
Jagdhausstr.|Potsdam||-7069,-3197
Jägerallee|Potsdam||-13256,-550
Jägersteig|Potsdam||-8480,-2136
Jägerstr.|Potsdam||-13115,-870
Jägervorstadt|Potsdam||-13728,7
Jahnstr.|Potsdam||-10618,-2244
Johann-Strauß-Platz|Potsdam||-9435,-687
Johanna-Just-Str.|Potsdam||-7894,-4969
Johannes-Kepler-Platz|Potsdam||-8001,-3504
Johannes-R.-Becher-Str.|Potsdam||-10409,-4529
Johannsenstr.|Potsdam||-10996,-2018
Joliot-Curie-Str.|Potsdam||-12563,-1359
Jutestr.|Potsdam||-10868,-1126
Kaffeeweg|Potsdam||-16582,-737
Kahlenbergstr.|Potsdam||-17395,-497
Kaiser-Friedrich-Str.|Potsdam||-18046,-955
Kamblystr.|Potsdam||-7714,-5177
Kantstr.|Potsdam||-15225,-2222
Karl-Foerster-Str.|Potsdam||-11534,-1506
Karl-Gruhl-Str.|Potsdam||-10258,-1448
Karl-Liebknecht-Str.|Potsdam||-10646,-1822
Karl-Marx-Str.|Potsdam||-9994,-198
Karoline-Schulze-Str.|Potsdam||-7846,-5012
Kastanienallee|Potsdam||-14949,-2083
Katharinastr.|Potsdam||-8314,-3466
Katharinenholzstr.|Potsdam||-15292,88
Käthe-Kollwitz-Str.|Potsdam||-10615,-3977
Käthestr.|Potsdam||-19652,4325
Käuzchenweg|Potsdam||-9991,-4343
Kellerstr.|Potsdam||-7763,-3122
Kiefernring|Potsdam||-10798,-5192
Kiezstr.|Potsdam||-13453,-1732
Kirchstr.|Potsdam||-7970,-5304
Kirschallee|Potsdam||-14708,509
Klabautermann|Potsdam||-19568,4182
Kladower Str.|Potsdam||-10236,2385
Kleewall|Potsdam||-9745,-2838
Klein Glienicke|Potsdam||-9355,192
Kleine Fischerstr.|Potsdam||-12123,-1284
Kleine Gasse|Potsdam||-13333,-1241
Kleine Str.|Potsdam||-9323,-2463
Kleine Weinmeisterstr.|Potsdam||-12818,413
Klopstockstr.|Potsdam||-9589,-1624
Knobelsdorffstr.|Potsdam||-15453,-2782
Kohlhasenbrücker Str.|Potsdam||-6890,-3305
Konrad-Wolf-Allee|Potsdam||-7776,-4744
Konsumhof|Potsdam||-9668,-2548
Kopernikusstr.|Potsdam||-10069,-2189
Körnerstr.|Potsdam||-9443,-1432
Kottmeierstr.|Potsdam||-11445,-3560
Krampnitzer Str.|Potsdam||-10694,2165
Kreuzstr.|Potsdam||-10291,-1537
Kuckucksruf|Potsdam||-10529,-4287
Kunersdorfer Str.|Potsdam||-11786,-3444
Kurfürstenstr.|Potsdam||-12799,-664
Kurze Str.|Potsdam||-11593,-2429
Küsselstr.|Potsdam||-13726,-2460
Lange Brücke|Potsdam||-12637,-1816
Langhansstr.|Potsdam||-12502,1008
Lankestr.|Potsdam||-10100,22
Laplacering|Potsdam||-7978,-3682
Laubenweg|Potsdam||-19998,2296
Leiblstr.|Potsdam||-12506,-691
Leibnizring|Potsdam||-7786,-3744
Leipziger Str.|Potsdam||-12961,-2678
Leistikowstr.|Potsdam||-12511,763
Leiterstr.|Potsdam||-13503,-3167
Lendelallee|Potsdam||-15581,-62
Lerchensteig|Potsdam||-15218,3300
Lessingstr.|Potsdam||-9835,-1551
Liefelds Grund|Potsdam||-10399,-5529
Lilienthalstr.|Potsdam||-8223,-3242
Lindenallee|Potsdam||-18047,-1310
Lindenavenue|Potsdam||-15721,-1421
Lindengrund|Potsdam||-17807,-1050
Lindenstr.|Potsdam||-13424,-1476
Lindstedter Chaussee|Potsdam||-16647,1061
Lindstedter Str.|Potsdam||-17741,-538
Lindstedter Weg|Potsdam||-15790,-600
Lisdorf|Potsdam||-9892,-4185
Lise-Meitner-Str.|Potsdam||-7789,-5156
Lortzingstr.|Potsdam||-8060,-2861
Lotte-Pulewka-Str.|Potsdam||-11517,-1739
Louis-Nathan-Allee|Potsdam||-10151,232
Ludwig-Richter-Str.|Potsdam||-11838,365
Luisenplatz|Potsdam||-13714,-1215
Lustgarten|Potsdam||-14138,-1023
Lutherplatz|Potsdam||-10864,-2171
Lutherstr.|Potsdam||-10487,-1574
Magnus-Zeller-Platz|Potsdam||-10491,-3719
Mami-von-Mirbach-Str.|Potsdam||-7446,-4982
Mangerstr.|Potsdam||-12247,-353
Margaete-Buber-Neumann-Str.|Potsdam||-7853,-5013
Marie-Hannemann-Str.|Potsdam||-7868,-5313
Marie-Juchacz-Str.|Potsdam||-7785,-5367
Marlygarten|Potsdam||-14090,-1078
Marmorpalais|Potsdam||-12077,394
Marquardter Chaussee|Potsdam||-18278,4241
Marquardter Damm|Potsdam||-19310,4220
