# -*- text -*-
# ----------------------------------------------------------------------------
Do, 22.10.1998
4219,10279    Konstanzer Str./Olivaer Platz      S->N       12:42:06  12:41:30
4239,10358    Konstanzer Str./Lietzenburger S    S->N       12:43:04  12:42:23
4267,10724    Leibnizstr./Mommsenstr.            S->N       12:43:49  12:44:23
4289,11060    Leibnizstr./Kantstr.               S->N       12:45:15
4312,11354    Leibnizstr./Goethestr.             S->N       12:46:03
4337,11721    Leibnizstr./Bismarckstr.           S->N   60  12:46:33  12:46:55
4356,12009    Leibnizstr./Otto-Suhr-Allee        S->N   60  12:47:41  12:47:55
4520,12358    Cauerstr./Guerickestr.             S->N       12:50:03  12:49:28
4591,12511    Cauerstr./Einsteinufer             S->N       12:51:04  12:50:28
4648,12559    Dovestr./Salzufer                  SW->NO     12:51:04
5013,12323    Salzufer/Franklinstr.              NW->SO               12:52:04

# ----------------------------------------------------------------------------
Do, 29.10.1998
9225,9038     Mehringdamm/Fidicinstr.            S->N       14:25:49  14:25:15
9248,9350     Mehringdamm/Kreuzbergstr.          S->N       14:26:12
9334,9670     Mehringdamm/Gneisenaustr.          S->N       14:27:53  14:27:13
9334,9670     Mehringdamm/Yorckstr. (Auto)       N->S   60  14:57:54  14:58:13
9334,9670     Mehringdamm/Yorckstr. (Rad)        N->S                 +7s
9248,9350     Mehringdamm/Kreuzbergstr (Auto)    N->S   80  14:59:32  15:00:13
9248,9350     Mehringdamm/Kreuzbergstr (Rad)     N->S                 +5s
9229,8785     Mehringdamm/Dudenstr. (Auto)       N->S   80  15:02:50  15:03:25
9229,8785     Mehringdamm/Dudenstr. (Rad)        N->S                 +15s
8982,8781     Dudenstr./Methfesselstr.           O->W       15:05:06  15:05:28

# ----------------------------------------------------------------------------
Do, 29.10.1998
8298,8774     Dudenstr./Loewenhardtdamm          W->O   60  19:47:44  19:48:09
8594,8777     Dudenstr./Katzbachstr.             W->O       19:49:24
8982,8781     Dudenstr./Methfesselstr.           W->O       19:50:05
9229,8785     Dudenstr./Mehringdamm              W->O       19:51:37  19:50:39
9248,9350     Mehringdamm/Kreuzbergstr.          S->N       19:52:52
9334,9670     Mehringdamm/Gneisenaustr.          S->N       19:53:54
9552,9602     Gneisenaustr/Nostitzstr            W->O       19:54:38
9790,9528     Gneisenaustr/Zossener Str.         W->O                 19:55:23
9937,9484     Gneisenaustr/Mittenwalder Str.     W->O                 19:55:35
10198,9405    Gneisenaustr/Baerwaldstr.          W->O       19:56:25
11136,9183    Hasenheide/Graefestr.              W->O       19:59:18  19:58:49
11831,8989    Hasenheide/Hermannstr.             W->O       20:01:43  20:01:01
12150,8764    Karl-Marx-Str./Reuterstr.          NW->SO     20:02:17  20:02:47
12494,8501    Karl-Marx-Str./Flughafenstr.       NW->SO     20:04:00  20:03:18
12598,8390    Karl-Marx-Str./Erkstr.             NW->SO 60  20:05:01  20:04:36
12765,8435    Erkstr./Donaustr.                  W->O       20:06:25  20:05:50
12920,8487    Erkstr./Sonnenallee                W->NO      20:06:49
13033,8628    Wildenbruchstr./Weserstr.          SW->NO     20:06:59
13333,9017    Wildenbruchstr./Harzer Str.        SW->NO     20:08:44
13614,9333    Wildenbruchstr./Karl-Kunger-Str.   SW->NO     20:09:38
14089,9610    Elsenstr./Am Treptower Park        S->N   85  20:11:44  20:11:57
14558,10264   Stralauer Str./Markgrafendamm      S->N       20:15:20  20:14:40
14988,11130   Kynaststr./Marktstr.               S->N       20:18:54

# ----------------------------------------------------------------------------
Fr, 30.10.1998
15261,10738   Hauptstr./Karlshorster Str.        N->S       08:44:09  08:44:38
15261,10738   Hauptstr./Karlshorster Str. (Rad)  O->W       08:44:46
14641,10552   Markgrafendamm/Persiusstr.         N->S       08:47:13
